,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
addisbo01,208,534,47,0,0,0,5,37,150,8,47,2,22,2,0
addybo01,274,1231,7,0,0,0,0,19,341,30,172,1,35,12,1
aderhmo01,106,262,29,0,0,0,0,19,70,3,32,3,7,3,0
adlesda01,106,256,80,1,2,5,2,18,43,0,11,1,3,1,0
adriaeh01,114,228,47,1,5,1,5,21,48,4,19,1,14,1,0
agbaybe01,383,1091,246,8,15,7,1,139,299,16,156,39,57,6,1
ageeto01,1129,3912,918,15,34,26,21,342,999,167,433,130,170,27,3
agganha01,157,517,67,6,0,0,7,57,135,8,67,11,23,9,0
aglerjo01,234,751,130,0,1,0,21,131,185,38,36,0,22,10,1
agnewsa01,563,1537,216,0,25,0,47,102,314,29,98,2,41,14,1
aguaylu01,568,1104,220,12,20,12,14,94,260,7,109,37,43,10,1
aguilch01,149,230,61,0,0,1,2,16,53,2,16,3,13,2,0
aguirha01,447,388,236,1,0,0,24,14,33,1,21,0,7,1,0
ahmedni01,159,491,91,3,1,1,7,32,109,4,38,10,19,6,0
aikenwi01,774,2492,444,27,18,42,0,319,675,3,415,110,125,2,2
aingeda01,211,665,128,3,4,2,12,37,146,12,37,2,19,4,0
ainsmed01,1078,3048,315,0,12,0,99,263,707,86,317,22,108,54,1
akersbi01,174,475,64,0,1,0,14,63,124,7,69,11,17,9,0
albergu01,120,426,5,0,9,0,0,52,84,27,50,1,10,6,0
alcanar01,81,304,104,2,2,0,2,22,59,9,30,10,11,2,0
alcarlu01,115,365,58,2,0,2,2,21,70,2,29,4,9,2,0
aldremi01,930,2147,381,18,5,29,14,314,565,19,271,41,104,9,1
aldrivi01,248,581,41,0,0,0,32,10,133,2,60,2,14,4,0
alenoch01,118,320,35,0,1,0,4,31,67,3,34,2,11,3,0
alexada01,662,2450,197,0,6,0,32,248,811,20,459,61,164,30,2
alexado01,562,265,77,2,1,0,23,9,44,0,17,0,8,0,0
alexaga01,432,1276,381,19,5,12,4,154,293,8,202,55,45,11,1
alexama02,594,1271,276,4,7,7,19,86,293,37,115,15,50,12,1
alexape01,703,1810,276,0,2,0,88,77,378,3,163,11,60,13,1
alexawa01,162,405,83,0,4,0,16,42,76,5,24,1,18,3,0
alfoned01,1506,5385,617,55,41,22,31,596,1532,53,744,146,282,18,4
alfonel01,193,591,158,3,9,9,4,17,142,1,67,17,24,3,0
alicelu01,1341,3971,624,45,48,25,49,500,1031,81,422,47,189,53,3
allanan01,512,1486,223,16,9,4,35,87,357,23,140,16,48,4,1
allenbe01,1139,3404,424,17,8,52,24,370,815,13,351,73,140,21,2
allenbo01,606,2211,209,0,13,0,3,297,532,53,306,14,77,44,2
allenbr01,116,344,137,2,1,6,0,42,70,3,41,12,19,2,0
allench01,267,851,173,5,4,2,5,63,229,15,84,14,44,8,1
allendi01,1749,6332,1556,53,16,138,19,894,1848,133,1119,351,320,79,4
allenet01,1281,4418,310,0,14,0,110,223,1325,84,501,47,255,45,3
allenfr01,181,288,126,0,1,0,14,35,39,1,25,2,8,6,0
allenga01,416,1061,192,11,5,3,15,130,235,3,131,19,49,2,1
allenha02,389,881,128,4,2,5,2,49,212,15,57,6,27,9,1
allenja02,86,273,52,0,1,0,6,33,61,6,21,4,10,0,0
allenje01,342,1031,228,10,24,1,21,104,268,42,114,15,49,8,1
allenjo02,365,716,155,0,0,0,36,33,124,1,64,4,12,3,0
allenmy01,156,606,3,0,6,0,0,45,157,30,88,4,28,14,0
allenni01,216,500,73,0,6,0,10,33,116,8,36,0,13,5,0
alleyge01,1195,3927,622,22,27,62,56,300,999,63,342,55,140,44,2
alliega01,121,418,84,3,2,0,3,56,83,1,30,3,8,6,0
allisar01,168,740,18,0,0,0,0,5,188,10,70,1,19,8,1
allisbo01,1541,5032,1033,35,34,30,25,795,1281,84,796,256,216,53,4
allisdo01,318,1407,40,0,0,0,0,22,381,5,140,2,43,10,1
almadme01,646,2483,150,0,5,0,35,214,706,56,197,15,107,27,2
almeira01,102,285,40,0,3,0,11,25,77,7,46,3,13,6,0
almonab01,166,508,133,5,1,0,7,39,124,12,48,10,26,6,0
almonbi01,1236,3330,636,29,6,24,44,250,846,128,296,36,138,25,2
alomaro01,2379,9073,1140,97,50,62,148,1032,2724,474,1134,210,504,80,4
alomasa01,1481,4760,482,18,3,17,77,302,1168,227,282,13,126,19,3
alomasa02,1377,4530,499,34,41,15,48,212,1236,25,588,112,249,10,3
alonsyo01,508,1621,263,17,9,18,1,163,443,17,183,32,93,2,1
aloufe01,2082,7339,706,56,57,67,33,423,2101,107,852,206,359,49,4
alouje01,1380,4345,267,20,30,32,44,138,1216,31,377,32,170,26,2
alouma01,1667,5789,377,29,36,38,55,311,1777,156,427,31,236,50,4
aloumo01,1942,7037,894,82,48,91,9,737,2134,106,1287,332,421,39,4
alperwh01,450,1632,0,0,39,0,57,30,387,27,141,7,60,36,1
alstode01,189,332,44,5,2,3,7,28,79,20,35,3,7,4,0
alstoto01,91,271,46,1,2,0,0,25,66,3,36,4,15,2,0
altizda01,514,1734,5,0,33,0,84,140,433,119,116,4,36,21,1
altmage01,991,3091,572,21,20,38,19,268,832,52,403,101,132,34,2
altobjo01,166,257,42,3,2,0,5,23,54,3,28,5,8,3,0
altroni01,230,550,0,0,11,0,15,29,97,5,27,2,9,1,0
altuvjo01,668,2721,308,24,24,20,17,146,830,169,226,36,162,14,2
alusige01,298,652,103,4,4,3,4,73,167,1,93,23,31,2,0
alvarga01,92,266,76,2,2,1,0,24,59,1,33,7,15,0,0
alvarlu01,463,1160,160,5,3,10,14,49,248,11,84,5,43,4,1
alvarpe01,742,2500,809,13,11,30,1,259,590,14,401,131,108,6,2
alvisma01,1013,3629,662,22,35,25,36,262,895,43,373,111,142,22,2
alvorbi01,265,1069,83,0,1,0,0,44,270,27,109,3,31,30,1
alyeabr01,371,866,210,10,6,7,0,100,214,5,148,38,33,2,1
amalfjo01,643,1715,224,8,12,9,17,185,418,19,123,9,67,19,1
amarari01,727,1788,277,13,16,1,29,176,493,112,159,11,82,10,2
amarial01,541,1442,231,14,4,11,21,94,328,29,139,18,55,16,1
amaroru01,940,2155,280,12,10,24,47,227,505,11,156,8,75,13,1
amaroru02,485,927,128,8,16,2,11,88,218,15,100,16,43,9,0
amblewa01,271,782,64,0,0,0,25,83,175,4,73,0,39,2,0
amesre01,533,1014,204,0,0,0,47,61,143,5,63,3,10,7,0
amezaal01,584,1408,223,8,14,7,28,112,348,49,110,12,47,19,1
amorosa01,517,1311,189,7,11,16,18,211,334,18,180,43,55,23,1
anderal01,126,390,49,0,1,0,5,33,93,6,17,1,11,3,0
anderan01,122,223,36,0,0,0,3,22,41,0,17,2,8,1,0
anderbo01,247,246,107,1,2,0,15,10,33,0,12,2,2,1,0
anderbr01,1834,6499,1190,50,154,59,74,960,1661,315,761,210,338,67,4
