,G,AB,SO,SF,HBP,IBB,SH,BB,R,H,SB,RBI,HR,2B,3B,W,SHO,CG,SV,SO,HRA,HA,ER,IP,ERA,HOF
alexasc01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,18,4.5,0
alexawa01,162,405,83,0,4,0,16,42,26,76,5,24,1,18,3,0,0,0,0,0,0,0,0,0,NA,0
alfarja01,7,11,5,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
alfonan01,592,14,8,0,0,0,1,0,0,2,0,2,0,0,0,35,0,0,129,400,55,677,280,1839,4.11092985318108,0
alfoned01,1506,5385,617,55,41,22,31,596,777,1532,53,744,146,282,18,0,0,0,0,0,0,0,0,0,NA,0
alfonel01,193,591,158,3,9,9,4,17,44,142,1,67,17,24,3,0,0,0,0,0,0,0,0,0,NA,0
alicelu01,1341,3971,624,45,48,25,49,500,551,1031,81,422,47,189,53,0,0,0,0,0,0,0,0,0,NA,0
allanan01,512,1486,223,16,9,4,35,87,145,357,23,140,16,48,4,0,0,0,0,0,0,0,0,0,NA,0
allarbr01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,44,9,97,45,287,4.23344947735192,0
allenbe01,1139,3404,424,17,8,52,24,370,357,815,13,351,73,140,21,0,0,0,0,0,0,0,0,0,NA,0
allenbo01,606,2211,209,0,13,0,3,297,337,532,53,306,14,77,44,0,0,0,0,0,0,0,0,0,NA,0
allenbo02,9,22,7,0,1,0,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
allenbo03,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,2,18,9,36,6.75,0
allenbo04,204,31,16,0,0,0,2,1,0,4,0,0,0,1,0,7,0,0,19,199,23,288,125,822,4.10583941605839,0
allenbr01,116,344,137,2,1,6,0,42,44,70,3,41,12,19,2,0,0,0,0,0,0,0,0,0,NA,0
allench01,267,851,173,5,4,2,5,63,102,229,15,84,14,44,8,0,0,0,0,0,0,0,0,0,NA,0
allenco01,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,60,305,18,195,70,715,2.64335664335664,0
allendi01,1749,6332,1556,53,16,138,19,894,1099,1848,133,1119,351,320,79,0,0,0,0,0,0,0,0,0,NA,0
allendu01,27,28,12,0,0,0,0,4,5,7,0,2,2,2,0,0,0,0,0,0,0,0,0,0,NA,0
allenet01,1281,4418,310,0,14,0,110,223,623,1325,84,501,47,255,45,0,0,0,0,0,0,0,0,0,NA,0
allenfr01,181,288,126,0,1,0,14,35,23,39,1,25,2,8,6,50,10,60,3,457,26,893,316,2911,2.93095156303676,0
allenga01,416,1061,192,11,5,3,15,130,114,235,3,131,19,49,2,0,0,0,0,0,0,0,0,0,NA,0
allenha01,16,66,1,0,0,0,0,0,8,18,0,7,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
allenha02,389,881,128,4,2,5,2,49,104,212,15,57,6,27,9,0,0,0,0,0,0,0,0,0,NA,0
allenhe01,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenho01,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenja01,27,108,14,0,0,0,0,2,14,16,0,7,0,3,2,0,0,0,0,0,0,0,0,0,NA,0
allenja02,86,273,52,0,1,0,6,33,23,61,6,21,4,10,0,0,0,0,0,0,0,0,0,0,NA,0
allenje01,342,1031,228,10,24,1,21,104,155,268,42,114,15,49,8,0,0,0,0,0,0,0,0,0,NA,0
